data,nazwa_operacji
2021-07-17,Błąd usuwania plików z serwera
2021-07-17,Błąd wysłania na serwer
2021-07-17,Błąd wysłania na serwer
2021-07-17,Błąd tworzenia pliku xml
2021-07-17,Błąd wysłania na serwer
2021-07-17,Błąd wysłania na serwer
2021-07-17,Błąd tworzenia pliku xml
2021-07-17,Błąd wysłania na serwer
2021-07-17,Błąd wysłania na serwer
2021-07-17,Błąd tworzenia pliku xml
2021-07-17,Błąd wysłania na serwer
2021-07-17,Błąd wysłania na serwer
2021-07-17,Błąd tworzenia pliku xml
2021-07-17,Błąd wysłania na serwer
2021-07-17,Błąd wysłania na serwer
2021-07-17,Błąd tworzenia pliku xml
2021-07-17,Błąd tworzenia pliku xml
2021-07-17,Błąd tworzenia pliku xml
2021-07-17,Błąd tworzenia pliku xml
2021-07-17,Błąd tworzenia pliku xml
2021-07-17,Błąd tworzenia pliku xml
2021-07-17,Błąd tworzenia pliku xml
2021-07-17,Błąd wysłania na serwer
2021-07-17,Błąd wysłania na serwer
2021-07-17,Błąd tworzenia pliku xml
2021-07-17,Błąd wysłania na serwer
2021-07-17,Błąd wysłania na serwer
2021-07-17,Błąd wysłania na serwer
2021-07-17,Błąd wysłania na serwer
2021-07-17,Błąd wysłania na serwer
2021-07-17,Błąd wysłania na serwer
2021-07-17,Błąd tworzenia pliku xml
2021-07-17,Błąd wysłania na serwer
2021-07-17,Błąd wysłania na serwer
2021-07-17,Błąd wysłania na serwer
2021-07-17,Błąd tworzenia pliku xml
2021-07-17,Błąd tworzenia pliku xml
2021-07-17,Błąd tworzenia pliku xml
2021-07-17,Błąd tworzenia pliku xml
2021-07-17,Błąd tworzenia pliku xml
2021-07-17,Błąd wysłania na serwer
2021-07-18,Błąd tworzenia pliku xml
2021-07-18,Błąd usuwania/dodawania plików do Listbox z serwera
2021-07-18,Błąd przesyłania pliku do lokalnego archiwum
2021-07-19,Błąd filtrowania ZK używając czasu
2021-07-19,Błąd usuwania/dodawania plików do Listbox z serwera
2021-07-19,Błąd usuwania plików z serwera
2021-07-19,Błąd usuwania/dodawania plików do Listbox z serwera
2021-07-19,Błąd usuwania/dodawania plików do Listbox z serwera
2021-07-19,Błąd tworzenia pliku xml
2021-07-19,Błąd tworzenia pliku xml